epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.274,0.97851,3.52093,1.41911,0.00467,1,0.64848,0.54691,0.36521,3.75598,1.06124,0.0001375,0.0001375,0.0001375
2,86.8432,0.68818,2.48822,1.13486,0.00463,1,0.89056,0.73398,0.42917,3.18793,1.00172,0.000284654,0.000284654,0.000284654
3,130.427,0.77768,2.01568,1.19036,0.8486,0.41933,0.85,0.678,0.48854,3.30665,1.06103,0.000428838,0.000428838,0.000428838
4,173.202,0.73713,1.74875,1.16773,0.622,0.73055,0.69149,0.59197,0.57746,2.82683,1.09632,0.000570051,0.000570051,0.000570051
5,218.957,0.67887,1.44617,1.13225,0.56657,0.76,0.93262,0.77234,0.65881,3.05289,1.16458,0.000708295,0.000708295,0.000708295
6,264.807,0.82848,1.59362,1.23979,0.69333,0.78738,0.88514,0.80623,0.60975,3.15949,1.12345,0.000843569,0.000843569,0.000843569
7,311.008,0.69532,1.35701,1.11555,0.8923,0.62659,0.64036,0.54735,0.61032,2.07248,1.14108,0.000975872,0.000975872,0.000975872
8,357.106,0.70796,1.38293,1.1042,0.83555,0.61111,0.95187,0.45765,1.00808,2.58443,1.38675,0.00110521,0.00110521,0.00110521
9,403.441,0.79306,1.28896,1.14222,0.9088,0.4753,0.5797,0.41355,0.67816,3.13727,1.28965,0.001151,0.001151,0.001151
10,449.669,0.73784,1.31362,1.14481,0.64482,0.50032,0.59641,0.50035,0.60562,2.47047,1.20568,0.00113863,0.00113863,0.00113863
11,496.105,0.71699,1.29603,1.12515,0.56609,0.99144,0.77731,0.69365,0.53105,2.49436,1.10473,0.00112625,0.00112625,0.00112625
12,542.23,0.6953,1.06332,1.09888,0.67147,0.93333,0.89361,0.78162,0.6203,1.63388,1.14534,0.00111388,0.00111388,0.00111388
13,588.183,0.69745,1.12881,1.12263,0.87971,0.66667,0.80694,0.62678,0.59682,2.19426,1.08028,0.0011015,0.0011015,0.0011015
14,633.925,0.68825,1.29927,1.09454,0.93414,0.66667,0.77389,0.68775,0.48266,1.61564,1.02358,0.00108913,0.00108913,0.00108913
15,679.577,0.68293,1.06718,1.10696,0.57295,0.6,0.58471,0.53963,0.49238,1.86903,1.03893,0.00107675,0.00107675,0.00107675
16,725.46,0.60092,0.95291,1.06612,0.59447,0.66667,0.64252,0.56132,0.49155,1.86444,1.05137,0.00106437,0.00106437,0.00106437
17,771.843,0.66475,0.9886,1.08084,0.9741,0.66507,0.66333,0.61025,0.4303,1.50027,0.97794,0.001052,0.001052,0.001052
18,818.343,0.65019,0.95278,1.09929,0.99702,0.6628,0.66333,0.55937,0.72106,1.7322,1.20857,0.00103962,0.00103962,0.00103962
19,865.129,0.67933,0.95719,1.0968,0.98519,0.57658,0.61938,0.51168,0.68152,1.95902,1.06889,0.00102725,0.00102725,0.00102725
20,911.795,0.79801,1.17466,1.20666,0.62226,0.65888,0.66439,0.60344,0.53574,1.61764,1.04193,0.00101488,0.00101488,0.00101488
21,958.486,0.74699,1.08406,1.20635,0.58911,0.65793,0.7075,0.63335,0.48732,1.35079,0.97599,0.0010025,0.0010025,0.0010025
22,1004.55,0.58876,0.83398,1.03236,0.63178,0.6609,0.69348,0.65252,0.4244,1.20138,0.93631,0.000990125,0.000990125,0.000990125
23,1051.11,0.6389,0.875,1.05703,0.64207,0.65923,0.67775,0.57942,0.64545,1.66384,1.07699,0.00097775,0.00097775,0.00097775
24,1097.12,0.64161,0.86198,1.02834,0.91955,0.65461,0.72205,0.62537,0.59693,1.34215,1.09872,0.000965375,0.000965375,0.000965375
25,1143.39,0.61874,0.78422,1.06963,0.98403,0.66667,0.77389,0.65702,0.61945,1.11282,1.06917,0.000953,0.000953,0.000953
26,1189.49,0.68502,1.01961,1.10496,0.9639,0.6589,0.82917,0.72372,0.65424,1.40746,1.09213,0.000940625,0.000940625,0.000940625
27,1235.51,0.59684,0.76506,1.0144,0.93571,0.66667,0.72967,0.62009,0.59802,1.30889,1.02994,0.00092825,0.00092825,0.00092825
28,1281.37,0.56459,0.7189,1.01525,0.98279,0.66667,0.67913,0.59754,0.52346,1.16569,1.01964,0.000915875,0.000915875,0.000915875
29,1327.56,0.55473,0.71774,1.01618,0.98827,0.66667,0.67105,0.60292,0.51873,1.19979,1.03486,0.0009035,0.0009035,0.0009035
30,1373.47,0.5476,0.74131,0.99838,0.98976,0.66667,0.67913,0.63167,0.44571,1.06335,1.00299,0.000891125,0.000891125,0.000891125
31,1419.94,0.5579,0.72451,1.05136,0.96506,0.66667,0.995,0.86674,0.51139,1.11173,1.01796,0.00087875,0.00087875,0.00087875
32,1466.3,0.59084,0.68133,1.01424,0.97626,0.66667,0.995,0.8741,0.47646,1.03374,0.99647,0.000866375,0.000866375,0.000866375
33,1512.15,0.57182,0.66324,1.01993,0.96632,0.66667,0.71861,0.63273,0.52466,1.01366,1.04244,0.000854,0.000854,0.000854
34,1558.19,0.4942,0.6533,1.00451,0.9736,0.66667,0.67913,0.62525,0.46184,1.15333,0.9775,0.000841625,0.000841625,0.000841625
35,1603.77,0.56622,0.80119,1.04053,0.96304,0.66667,0.67403,0.63303,0.38494,1.09884,0.91841,0.00082925,0.00082925,0.00082925
36,1650.28,0.4925,0.61192,0.99288,0.99295,0.66667,0.6723,0.64353,0.3403,0.82125,0.87788,0.000816875,0.000816875,0.000816875
37,1697.58,0.52389,0.65569,1.02092,0.99202,0.66667,0.69097,0.65504,0.40248,0.77521,0.9478,0.0008045,0.0008045,0.0008045
38,1744.71,0.61598,0.827,1.10048,0.98278,0.66667,0.68544,0.63403,0.38138,0.83916,0.92687,0.000792125,0.000792125,0.000792125
39,1792,0.48142,0.64676,0.991,0.98927,0.66667,0.66382,0.57698,0.45718,0.91483,0.96864,0.00077975,0.00077975,0.00077975
40,1838.04,0.46308,0.59197,0.97018,0.98877,0.66667,0.66542,0.60348,0.43021,0.86992,0.9653,0.000767375,0.000767375,0.000767375
41,1880.42,0.54787,0.76415,1.03955,0.98855,0.66667,0.67039,0.57382,0.60451,0.9247,1.10941,0.000755,0.000755,0.000755
